"HIGH_1"	"HIGH_2"	"HIGH_3"	"HIGH_4"	"LOW_1"	"LOW_2"	"LOW_3"	"LOW_4"
"LOC100129534"	38	21	25	10	17	20	12	19
"RER1"	2577	1960	1887	2865	1469	1515	1448	2180
"PEX10"	287	243	215	303	155	193	197	326
"PLCH2"	5	1	0	1	2	6	2	9
"PANK4"	5	1	1	1	2	1	3	1
"HES5"	0	0	0	0	0	0	0	0
"TNFRSF14.AS1"	0	0	0	0	0	0	0	0
"TNFRSF14"	13	11	8	16	4	4	11	7
"LOC100996583"	0	0	0	0	0	0	0	0
"PRXL2B"	0	0	0	0	0	0	0	0
"MMEL1"	0	0	0	0	0	0	0	0
"MMEL1.AS1"	0	0	0	0	0	0	0	0
"TTC34"	1	1	1	0	0	0	0	0
"LOC105378602"	0	0	0	0	0	0	0	0
"LOC105378601"	0	0	0	0	0	0	0	0
"LOC112268220"	0	0	0	0	0	0	0	0
"LOC107985732"	0	0	0	0	0	0	0	0
"LOC105378600"	0	0	0	0	0	0	0	0
"LOC105378598"	0	0	0	0	0	0	0	0
"LOC107984904"	0	0	0	0	0	0	0	0
"LOC105378599"	0	0	0	0	0	0	0	0
"LOC124903825"	0	0	0	0	0	0	0	0
"LOC124903826"	0	0	0	0	0	0	0	0
"ACTRT2"	0	0	0	0	0	0	0	0
"LOC124903827"	6	1	0	0	1	3	8	1
"PRDM16.DT"	0	0	0	0	0	0	0	0
"PRDM16"	11	7	4	1	0	2	11	2
"MIR4251"	0	0	0	0	0	0	0	0
"LOC105378606"	0	0	0	0	0	0	0	0
"LOC107984909"	4	1	2	0	1	3	2	3
"LOC105378605"	0	0	0	0	0	0	0	0
"LOC124903828"	7	15	6	0	3	14	10	10
"LOC105378604"	1	3	0	0	1	0	0	2
"ARHGEF16"	130	151	123	112	49	51	32	69
"MEGF6"	312	918	150	244	91	181	217	179
"LOC105378608"	3	6	1	0	1	1	1	1
"MIR551A"	0	0	0	0	0	0	0	0
"TPRG1L"	1680	1082	1066	1415	855	869	696	821
"WRAP73"	137	155	96	123	76	82	70	120
"TP73"	17	6	16	9	1	5	4	4
"TP73.AS3"	1	7	2	1	1	0	0	1
"TP73.AS1"	278	282	252	163	256	272	350	363
"CCDC27"	0	0	0	0	0	0	0	0
"SMIM1"	55	11	14	47	20	21	25	41
"LRRC47"	700	492	582	526	577	500	601	624
"CEP104"	789	747	667	495	668	649	648	600
"LOC124903829"	24	34	27	5	31	29	28	26
"DFFB"	125	84	116	79	96	86	91	93
"C1orf174"	350	329	287	311	238	252	248	378
"LINC01134"	9	5	3	5	11	29	10	7
"LINC01346"	0	0	0	0	0	0	0	0
"LINC01345"	0	0	0	0	0	0	0	0
"LINC01777"	0	0	0	0	0	0	0	0
"LOC105376674"	0	0	0	0	0	0	0	0
"LOC124904578"	0	0	0	0	0	0	0	0
"LINC01646"	0	0	0	0	0	0	0	0
"AJAP1"	3	121	8	3	5	10	34	21
"LINC02781"	0	0	0	0	0	0	0	0
"LOC124904589"	0	0	0	0	0	0	0	0
"LOC102724429"	0	0	0	0	0	0	0	0
"LINC02782"	0	0	0	0	0	0	0	0
"LOC105376682"	0	0	0	0	0	0	0	0
"LOC124904590"	0	0	0	0	0	0	0	0
"LOC107984911"	1	56	0	0	0	3	12	0
"LOC105376686"	0	0	0	0	0	0	0	0
"LOC124900451"	0	0	0	0	0	0	0	0
"LOC124903830"	0	2	0	0	0	1	0	0
"MIR4689"	0	0	0	0	1	0	0	0
"NPHP4"	148	146	131	78	145	63	162	121
"KCNAB2"	271	323	142	218	97	154	165	140
"LOC124903831"	3	3	1	2	2	1	1	0
"CHD5"	2	1	0	0	0	1	1	2
"RPL22"	2165	2646	1431	2345	1663	1626	1793	1648
"RNF207.AS1"	24	11	22	21	7	14	9	18
"RNF207"	287	275	193	222	131	267	154	283
"ICMT"	1277	1056	919	726	718	596	682	759
"ICMT.DT"	39	5	15	10	15	9	5	14
"HES3"	0	0	0	0	0	0	0	0
"GPR153"	271	86	61	75	119	79	113	51
"ACOT7"	324	134	199	213	126	119	107	202
"HES2"	1	17	1	4	0	0	2	0
"ESPN"	868	186	459	571	319	330	283	513
"MIR4252"	0	0	0	0	0	0	0	0
"TNFRSF25"	42	62	23	16	15	12	26	43
"PLEKHG5"	70	106	43	41	40	50	70	52
"NOL9"	683	745	548	418	621	582	591	683
"TAS1R1"	0	0	2	0	1	0	1	0
"LOC107984912"	0	0	0	2	0	0	1	0
"ZBTB48"	431	260	337	218	342	323	303	444
"KLHL21"	793	686	514	578	467	494	469	478
"LOC107984913"	29	20	12	14	26	24	28	15
"PHF13"	218	211	124	214	131	99	131	81
"THAP3"	165	139	85	153	115	93	99	151
"DNAJC11"	719	580	640	474	489	548	508	629
"LINC01672"	0	0	0	0	0	0	0	0
"LOC124904847"	0	0	0	0	0	0	0	0
"CAMTA1.DT"	15	6	6	14	9	6	8	10
"CAMTA1"	711	678	597	659	469	663	616	610
"LOC124903832"	386	331	497	145	450	492	500	516
"RPL37P9"	0	0	0	0	0	1	0	0
"LOC124900385"	0	0	2	0	2	7	3	0
"CAMTA1.AS2"	0	0	0	0	0	0	0	0
"CAMTA1.AS1"	0	0	0	3	0	0	0	0
"LOC105376691"	0	0	0	0	0	0	0	0
"LOC105376689"	5	13	3	6	6	2	5	8
"VAMP3"	1790	1839	1096	1168	928	930	1141	1123
"PER3"	3357	915	3019	2862	2664	2908	3298	3248
"LOC124903833"	0	2	2	2	1	0	2	3
"UTS2"	3	0	0	1	3	1	1	0
"TNFRSF9"	34	20	14	27	5	11	2	27
"PARK7"	1842	1664	1298	2114	1046	1007	1129	1375
"LOC124903834"	15	15	8	4	11	7	11	8
"ERRFI1"	8200	7009	9089	10166	26144	11448	18283	8619
"ERRFI1.DT"	40	39	12	33	83	59	44	19
"RPL7AP18"	0	0	0	0	0	0	0	0
"LOC107984915"	0	0	0	0	0	2	1	0
"LINC01714"	3	3	3	4	8	2	3	1
"LOC105376695"	4	13	9	15	15	3	1	4
"LOC124903835"	31	25	21	17	51	48	35	43
"SLC45A1"	4	10	0	2	1	2	1	3
"RERE"	1349	1500	827	931	801	1105	723	749
"RERE.AS1"	11	9	5	4	8	10	2	2
"SNORD128"	2	6	2	1	5	2	4	7
"LOC124900452"	1	4	1	0	3	4	0	3
"RPL23AP19"	0	0	0	0	0	0	0	0
"ENO1"	7852	9770	5159	6948	4631	3448	4704	5368
"MIR6728"	0	1	0	2	0	0	0	1
"ENO1.AS1"	5	4	3	4	3	6	7	8
"HMGN2P17"	5	5	1	4	0	1	2	2
"LOC112268261"	0	0	0	0	0	0	0	2
"CA6"	0	0	0	0	0	1	0	0
"RN7SL451P"	1	1	17	0	15	18	12	7
"SLC2A7"	0	0	0	0	0	0	0	0
"SLC2A5"	13	36	3	9	4	8	6	7
"LOC124900441"	0	0	0	0	0	0	0	0
"GPR157"	252	169	163	130	145	140	150	142
"MIR34AHG"	288	280	198	115	81	141	138	244
"MIR34A"	0	0	0	0	0	0	0	0
"LNCTAM34A"	28	32	6	17	5	12	13	8
"H6PD"	7995	7143	5567	4672	5440	5145	5209	4602
"LOC124903836"	0	0	2	4	1	2	1	0
"SPSB1"	454	1075	256	365	137	82	96	196
"LINC02606"	57	44	34	69	15	11	12	14
"SLC25A33"	291	259	160	316	87	58	73	139
"TMEM201"	67	82	44	45	25	38	29	36
"LOC124903837"	0	0	0	0	0	0	0	0
"PIK3CD"	335	522	166	191	130	158	139	252
"LOC105376712"	0	0	0	0	0	0	0	0
"PIK3CD.AS1"	0	3	1	1	0	0	0	0
"PIK3CD.AS2"	2	14	3	1	1	1	3	1
"LOC124903839"	0	0	0	0	0	0	0	0
"CLSTN1"	602	958	299	458	201	333	332	368
"MZT1P1"	0	0	0	0	0	0	0	0
"CTNNBIP1"	332	295	216	272	263	211	242	242
"LOC105376717"	0	0	0	1	1	0	0	0
"LOC124903838"	7	16	7	2	6	14	3	6
"LZIC"	986	946	702	772	585	562	623	730
"NMNAT1"	405	371	276	268	219	282	231	298
"TMEM274P"	0	1	0	0	0	0	1	0
"MIR5697"	0	1	1	0	0	2	0	5
"LOC124903840"	0	0	0	1	0	0	0	0
"RBP7"	42	54	19	35	14	12	34	56
"UBE4B"	1466	1440	1118	1045	1182	1148	1127	1220
"KIF1B"	3465	2913	2850	2032	2749	2772	2514	2744
"RNU6.37P"	2	1	5	2	6	6	6	11
"PGD"	1530	2079	929	1643	560	646	731	1876
"CENPS.CORT"	3	0	0	0	0	0	1	2
"CENPS"	19	19	12	17	13	10	8	9
"CORT"	1	2	0	0	1	0	0	2
"DFFA"	906	823	812	626	770	689	755	750
"PEX14"	481	343	393	301	380	434	363	408
"RN7SL614P"	4	0	4	1	5	6	2	13
"CASZ1"	144	117	62	44	46	61	52	48
"LOC105376733"	0	0	0	0	0	0	0	0
"LOC105376735"	0	0	0	0	0	0	0	0
"C1orf127"	15	13	4	6	2	6	3	8
"CFL1P6"	2	0	1	0	4	2	1	3
"TARDBP"	1747	1657	1245	1129	1126	1308	1098	1425
"MASP2"	3232	1444	2332	3142	2344	2111	1959	2010
"SRM"	222	271	94	222	60	89	65	107
"EXOSC10"	865	950	596	581	719	616	636	721
"EXOSC10.AS1"	1	5	4	2	1	0	2	0
"MTOR"	3689	2491	2944	2230	1783	1889	1797	2928
"MTOR.AS1"	0	0	0	0	0	0	0	0
"RNU6.537P"	0	0	0	0	0	0	0	0
"LOC124904848"	1	1	3	2	4	1	3	4
"ANGPTL7"	13	0	2	2	5	3	4	20
"RPL39P6"	0	0	0	0	0	0	0	0
"UBIAD1"	362	396	290	355	209	239	195	290
"UBE2V2P3"	0	0	0	0	0	0	0	0
"LOC105376737"	0	0	0	0	0	0	0	0
"LOC105376739"	0	0	0	0	0	0	0	0
"LOC105376740"	0	0	0	2	0	1	0	0
"LOC124903841"	0	0	0	0	0	0	0	0
"DISP3"	0	1	0	0	0	1	0	1
"LOC124903842"	0	1	0	0	0	0	1	0
"LINC01647"	0	0	0	0	0	0	0	0
"FBXO2"	433	135	250	507	65	103	88	343
"FBXO44"	412	225	205	316	129	142	176	288
"FBXO6"	278	177	140	169	81	107	131	151
"MAD2L2"	292	260	138	392	107	111	178	183
"DRAXIN"	2	2	1	3	2	1	0	5
"AGTRAP"	194	281	73	136	71	54	95	121
"LOC101060126"	0	0	0	0	0	0	0	0
"C1orf167"	1	4	0	1	0	0	3	1
"C1orf167.AS1"	0	0	0	0	0	0	0	1
"MTHFR"	665	998	495	644	498	579	572	1018
"CLCN6"	337	396	253	340	251	384	279	519
"NPPA.AS1"	16	8	9	14	5	12	7	22
"NPPA"	0	0	0	0	0	0	0	1
"NPPB"	0	0	0	0	0	0	0	0
"SBF1P2"	0	0	0	0	0	0	0	0
"RNU5E.1"	88	131	55	194	78	50	27	35
"LOC124903843"	1	0	0	0	0	2	3	1
"KIAA2013"	1054	499	711	926	600	551	549	709
"PLOD1"	2510	2198	1768	1906	1366	1150	1204	2032
"MFN2"	3058	1810	2772	1827	1700	1812	1735	2574
"MIIP"	163	139	80	166	77	85	81	108
"MIR6729"	2	0	0	0	0	0	0	0
"TNFRSF8"	9	16	4	6	1	3	7	3
"RPL23AP89"	0	0	0	0	0	0	0	0
"MIR7846"	0	0	0	0	0	0	0	0
"TNFRSF1B"	674	1067	386	491	268	367	343	479
"LOC124903844"	33	36	21	17	20	32	12	19
"MIR4632"	0	0	1	0	0	0	1	0
"RPL10P17"	0	0	0	0	0	0	0	0
"LOC124900427"	0	0	0	0	0	0	0	0
"VPS13D"	5723	5695	5395	3328	3801	4475	4590	5017
"LOC124903845"	0	0	1	0	0	0	0	0
"LOC124904680"	0	0	0	0	0	0	0	0
"SNORA59A"	1	5	3	0	2	1	4	1
"LINC02766"	225	128	214	157	178	281	153	269
"DHRS3"	4581	3692	3907	3756	3633	3230	3281	3824
"MIR6730"	1	1	6	0	1	3	3	2
"AADACL4"	3	0	0	0	0	0	0	0
"LOC124903846"	0	0	0	0	0	0	0	0
"AADACL3"	0	0	0	0	0	0	0	0
"LOC124904811"	0	0	0	0	0	0	0	0
"CFAP107"	0	0	0	0	0	0	0	0
"PRAMEF12"	0	0	0	0	0	0	0	0
"PRAMEF1"	0	0	0	0	0	0	0	0
"LINC01784"	0	0	0	0	0	0	0	0
"PRAMEF11"	0	0	0	0	0	0	0	0
"PRAMEF30P"	0	0	0	0	0	0	0	0
"HNRNPCL1"	0	0	0	0	0	0	0	0
"PRAMEF2"	0	0	0	0	0	0	0	0
"PRAMEF4"	0	0	0	0	0	0	0	0
"PRAMEF10"	0	0	0	0	0	0	0	0
"PRAMEF7"	0	0	0	0	0	0	0	0
"RNU6.1072P"	0	0	0	0	0	0	0	0
"PRAMEF6"	0	0	0	0	0	0	0	0
"PRAMEF28P"	0	0	0	0	0	0	0	0
"PRAMEF27"	0	0	0	0	0	0	0	0
"HNRNPCL3"	0	0	0	0	0	0	0	0
"PRAMEF25"	0	0	0	0	0	0	0	0
"PRAMEF34P"	0	0	0	0	0	0	0	0
"PRAMEF35P"	0	0	0	0	0	0	0	0
"HNRNPCL2"	0	0	0	0	0	0	0	0
"PRAMEF36P"	0	0	0	0	0	0	0	0
"PRAMEF26"	0	0	0	0	0	0	0	0
"HNRNPCL4"	0	0	0	0	0	0	0	0
"PRAMEF9"	0	0	0	0	0	0	0	0
"PRAMEF13"	0	0	0	0	0	0	0	0
"PRAMEF18"	0	0	0	0	0	0	0	0
"PRAMEF5"	0	0	0	0	0	0	0	0
"RNU6.771P"	0	0	0	0	0	0	0	0
"PRAMEF8"	0	0	0	0	0	0	0	0
"PRAMEF33"	0	0	0	0	0	0	0	0
"PRAMEF15"	0	6	0	0	0	0	0	0
"PRAMEF14"	0	0	0	0	0	0	0	0
"PRAMEF19"	0	0	0	0	0	0	0	0
"PRAMEF17"	1	0	0	1	0	0	0	0
"PRAMEF20"	0	0	0	0	0	0	0	0
"LRRC38"	0	0	0	0	0	0	0	0
"LOC102724856"	0	0	0	0	0	0	0	0
"LOC107984918"	0	0	0	0	0	0	0	0
"PDPN"	7	242	4	3	1	13	26	2
"LOC105378612"	0	0	0	0	0	0	0	0
"LOC105376756"	0	0	0	0	0	0	0	0
"LOC124900446"	0	0	0	0	0	0	0	0
"PRDM2"	921	1107	671	533	563	753	671	699
"KAZN"	246	142	216	198	242	222	198	244
"LOC107985467"	23	13	23	18	25	47	37	23
"LOC124903847"	19	17	10	2	7	28	18	9
"KAZN.AS1"	0	0	0	0	0	0	0	0
"LOC124903850"	3	0	0	0	0	4	4	3
"LOC105376759"	0	0	0	0	0	0	0	0
"LOC124903848"	0	0	0	0	0	0	0	0
"LOC107985469"	0	0	0	0	0	0	0	0
"LOC124903849"	0	0	0	0	0	0	0	0
"TMEM51.AS1"	32	81	10	3	3	20	28	8
"TMEM51"	89	226	49	63	29	33	37	63
"TMEM51.AS2"	0	0	0	0	0	0	0	0
"MFFP1"	0	0	0	0	0	0	0	0
"FHAD1"	27	79	14	8	3	5	2	13
"LOC124903853"	0	0	0	0	1	0	0	0
"LOC124903852"	0	1	0	0	5	0	3	0
"FHAD1.AS1"	0	1	0	0	0	0	0	0
"LOC124903851"	0	0	0	1	0	0	0	0
"EFHD2.AS1"	1	2	0	1	3	2	0	2
"EFHD2"	359	429	200	290	183	176	166	274
"CTRC"	3	1	0	0	1	0	4	1
"CELA2A"	0	0	0	1	0	0	0	0
"LOC105376767"	0	0	1	1	1	3	2	1
"CELA2B"	0	0	0	0	0	0	0	0
"CASP9"	240	135	146	144	102	118	115	137
"DNAJC16"	871	784	663	578	557	569	576	665
"SCARNA21B"	2	3	1	3	0	0	4	6
"AGMAT"	2754	976	2981	2972	3058	2978	1963	2787
"LOC124903854"	0	0	2	0	1	1	1	0
"LOC124904764"	0	0	0	0	0	0	0	0
"CD24P1"	0	0	0	0	1	0	0	0
"DDI2"	4447	2333	3611	2846	4055	4152	3819	3746
"RSC1A1"	48	25	31	18	35	43	31	42
"PLEKHM2"	784	791	473	573	347	373	348	480
"SLC25A34"	339	48	261	176	189	207	231	143
"SLC25A34.AS1"	1	1	0	0	0	0	1	0
"TMEM82"	246	78	179	251	194	145	145	202
"FBLIM1"	245	1047	106	151	56	86	113	113
"RPL12P14"	0	1	0	0	0	1	0	0
"UQCRHL"	11	8	13	7	9	11	11	10
"RPS16P1"	0	0	3	1	0	0	0	0
"SPEN.AS1"	79	37	44	83	67	74	67	54
"SPEN"	2622	2509	2106	1507	2135	2582	2391	1945
"LOC124904815"	5	1	4	1	0	1	2	2
"ZBTB17"	180	157	113	156	123	117	149	176
"LOC124903855"	41	16	23	7	60	33	43	39
"SRARP"	0	0	0	0	0	1	0	0
"HSPB7"	14	56	1	2	1	2	13	5
"CLCNKA"	0	1	0	0	3	0	2	5
"FAM131C2P"	0	0	0	2	0	0	0	0
"CLCNKB"	1	0	0	0	0	0	0	0
"FAM131C"	1	0	1	0	0	0	0	0
"EPHA2"	322	477	182	154	136	145	291	203
"EPHA2.AS1"	20	34	17	10	12	20	25	14
"ARHGEF19"	0	0	1	0	0	0	0	0
"ANO7L1"	0	0	0	0	0	0	0	0
"CPLANE2"	1	1	1	1	0	1	1	1
"MT1XP1"	0	0	0	1	0	0	0	0
"FBXO42"	7	9	2	9	6	7	6	7
"SZRD1"	46	48	33	29	16	15	19	23
"RPL22P3"	0	0	0	0	0	0	0	0
"SPATA21"	2	2	0	0	0	1	0	0
"NECAP2"	1	0	0	0	1	0	1	0
"LINC01772"	0	0	0	0	0	0	0	0
"CROCCP3"	2	2	5	1	4	1	7	1
"RNU1.1"	53	14	40	19	33	27	30	19
"TRN.GTT5.1"	0	0	0	0	0	0	0	0
"LINC01783"	0	0	0	0	0	0	0	0
"TRE.TTC4.1"	0	0	0	0	0	0	0	0
"LOC124903856"	0	0	0	0	0	0	0	0
"TRG.CCC1.1"	0	0	0	0	0	0	0	0
"NBPF1"	45	43	31	26	14	16	9	34
"CROCCP2"	35	35	34	40	76	88	78	71
"LOC124900386"	14	13	13	17	29	40	43	35
"MST1P2"	623	802	611	798	892	746	773	1135
"RNU1.3"	0	2	0	4	1	0	1	1
"LOC124903857"	0	0	0	0	0	0	0	0
"TRG.CCC4.1"	0	0	0	0	0	0	0	0
"EIF1AXP1"	13	7	5	2	5	14	8	6
"ESPNP"	2	0	0	0	1	0	2	1
"LOC124903858"	1	0	0	0	1	2	3	2
"TRG.CCC5.1"	0	0	0	0	0	0	0	0
"LOC124903859"	0	0	1	0	2	0	0	0
"RNU1.4"	0	0	0	0	0	1	0	0
"CROCCP4"	0	0	0	0	0	0	0	0
"MST1L"	8	5	13	18	20	9	16	7
"MIR3675"	0	0	0	0	0	0	0	0
"TRG.CCC1.2"	0	0	0	0	0	0	0	0
"LOC124903860"	2	0	3	7	2	0	0	1
"LOC112267871"	0	0	0	0	0	0	0	0
"TRE.TTC3.1"	0	0	0	0	0	0	0	0
"LOC107985101"	0	0	0	0	0	0	0	0
"LOC105376805"	15	6	7	11	5	4	9	4
"TRN.GTT4.1"	0	0	1	0	0	0	0	0
"RNU1.2"	6	6	3	20	9	2	12	5
"CROCC"	1	1	1	1	0	1	0	2
"MFAP2"	0	0	0	0	0	0	0	0
"LOC105376806"	0	0	0	0	0	0	0	0
"ATP13A2"	1	1	0	0	1	0	5	1
"SDHB"	226	80	202	275	162	111	158	203
"PADI2"	0	0	0	0	0	0	0	0
"LOC124903861"	0	0	0	0	0	0	0	0
"LOC105376808"	0	0	0	0	0	0	0	0
"LINC02783"	0	0	0	0	0	0	0	0
"PADI1"	0	0	0	0	0	0	0	0
"PADI3"	0	0	0	0	0	0	0	0
"MIR3972"	0	0	0	0	0	0	0	0
"PADI4"	0	0	0	0	0	0	0	0
"PADI6"	0	0	0	0	0	0	0	0
"RCC2"	0	0	0	0	0	0	0	0
"RCC2.AS1"	0	0	0	0	0	0	0	0
"LOC124903862"	0	0	0	0	0	0	0	0
"LOC124904837"	0	0	0	0	0	0	0	0
"ARHGEF10L"	2242	1464	1894	1557	1747	2232	1852	2080
"LINC02810"	0	0	0	0	0	0	0	0
"ACTL8"	0	2	2	0	0	0	0	0
"LOC105376809"	0	0	0	0	0	0	0	0
"LOC105376812"	0	0	0	0	0	0	0	0
"LINC01654"	0	0	0	0	0	0	0	0
"IGSF21"	29	44	5	17	1	0	0	22
"IGSF21.AS1"	0	0	0	0	0	0	0	0
"LOC124903864"	0	0	0	0	0	0	0	0
"LOC124903863"	0	0	0	0	0	0	0	0
"LOC124903865"	0	0	0	0	0	0	0	0
"KLHDC7A"	679	323	520	536	362	321	318	225
"DYNLL1P3"	0	0	0	0	0	0	0	0
"PAX7"	0	0	0	0	0	0	0	0
"TAS1R2"	0	0	0	0	0	0	1	0
"ALDH4A1"	7896	3778	4264	5884	3801	3476	3604	6027
"MIR4695"	0	0	0	0	0	0	0	0
"MIR1290"	1	5	2	5	1	5	1	4
"LOC124903866"	0	0	1	1	1	0	0	0
"IFFO2"	353	423	229	193	124	192	225	288
"LOC105376815"	6	7	4	0	5	3	1	5
"UBR4"	9629	7336	7694	6198	9961	9990	9338	7614
